Population,Postcode
27411,2000
1259,2006
8845,2007
11712,2008
12813,2009
27734,2010
21196,2011
9918,2015
13213,2016
24695,2017
17028,2018
10838,2019
14772,2020
15313,2021
12507,2022
10716,2023
11073,2024
7405,2025
32490,2026
8195,2027
4642,2028
9961,2029
14079,2030
34726,2031
16689,2032
11570,2033
20713,2034
34490,2035
30407,2036
16115,2037
9451,2038
8725,2039
22242,2040
15690,2041
19129,2042
8014,2043
7846,2044
6457,2045
26822,2046
11950,2047
7938,2048
11282,2049
8963,2050
3425,2052
13988,2060
5943,2061
7006,2062
6347,2063
9523,2064
30119,2065
31626,2066
26403,2067
16813,2068
14253,2069
13505,2070
13545,2071
7668,2072
16352,2073
22258,2074
20451,2075
24648,2076
37791,2077
7095,2079
1708,2080
5369,2081
5397,2082
1519,2083
3625,2084
11624,2085
13414,2086
12798,2087
28475,2088
11918,2089
13724,2090
7139,2092
22873,2093
5840,2094
15866,2095
14657,2096
15529,2097
39925,2099
20911,2100
19395,2101
7501,2102
10670,2103
3620,2104
1848,2105
9301,2106
14669,2107
1673,2108
3086,2109
10343,2110
14412,2111
32852,2112
18371,2113
24057,2114
10737,2115
6642,2116
21285,2117
24341,2118
11643,2119
20208,2120
28214,2121
31160,2122
0,2123
16374,2125
18765,2126
14532,2127
4166,2128
0,2129
7311,2130
23841,2131
10612,2132
11012,2133
16033,2134
25251,2135
7364,2136
26507,2137
20023,2138
57,2139
16167,2140
28675,2141
26292,2142
8921,2143
37366,2144
79211,2145
17465,2146
36341,2147
63071,2148
31500,2150
21306,2151
11215,2152
56562,2153
39594,2154
55452,2155
12942,2156
3741,2157
8575,2158
4975,2159
35973,2160
31418,2161
18622,2162
9590,2163
19624,2164
42444,2165
52762,2166
9633,2167
43451,2168
105451,2170
34866,2171
2781,2172
14433,2173
2267,2174
1837,2175
47809,2176
15979,2177
4230,2178
6530,2179
25566,2190
6322,2191
12718,2192
15256,2193
24541,2194
27154,2195
31815,2196
9069,2197
9038,2198
18013,2199
43687,2200
13707,2203
26502,2204
19447,2205
19404,2206
28534,2207
12446,2208
15769,2209
30586,2210
16846,2211
15847,2212
21784,2213
3952,2214
28067,2216
26843,2217
16431,2218
13200,2219
32487,2220
16481,2221
12786,2222
20910,2223
14213,2224
5407,2225
12504,2226
14626,2227
18361,2228
28718,2229
28843,2230
2267,2231
32870,2232
29498,2233
30580,2234
67194,2250
32702,2251
15598,2256
29010,2257
5164,2258
59513,2259
23417,2260
52754,2261
20830,2262
24267,2263
14233,2264
5805,2265
2759,2267
2570,2278
26678,2280
14274,2281
14777,2282
23300,2283
10500,2284
30714,2285
3909,2286
36400,2287
19117,2289
33426,2290
13417,2291
2465,2292
2521,2293
1929,2294
6925,2295
1883,2296
1680,2297
9498,2298
11207,2299
10578,2300
564,2302
9143,2303
15176,2304
12506,2305
3358,2306
3905,2307
1326,2308
858,2311
1458,2312
203,2314
14658,2315
5849,2316
6244,2317
12147,2318
6684,2319
34556,2320
14625,2321
18450,2322
25735,2323
23648,2324
28460,2325
7332,2326
7615,2327
2442,2328
2112,2329
20350,2330
319,2331
13647,2333
2830,2334
6156,2335
2614,2336
7891,2337
1430,2338
679,2339
49072,2340
1572,2341
471,2342
4968,2343
756,2344
721,2345
3149,2346
1931,2347
25339,2350
976,2351
2716,2352
1126,2353
3576,2354
663,2355
162,2356
4159,2357
3767,2358
736,2359
14529,2360
909,2361
3721,2365
927,2369
7687,2370
1155,2371
4742,2372
313,2379
10392,2380
1193,2381
1319,2382
360,2386
201,2387
2674,2388
8757,2390
671,2395
857,2396
377,2397
236,2398
597,2399
10084,2400
321,2401
1792,2402
718,2403
1838,2404
514,2405
823,2406
376,2408
1030,2409
278,2410
120,2411
390,2415
4023,2420
1828,2421
5338,2422
2964,2423
425,2424
1780,2425
720,2426
3114,2427
24009,2428
9717,2429
34018,2430
5133,2431
2941,2439
21819,2440
4345,2441
8894,2443
46284,2444
6466,2445
13330,2446
7178,2447
9000,2448
2188,2449
43894,2450
15120,2452
2768,2453
7570,2454
3000,2455
14749,2456
29216,2460
2443,2462
7545,2463
6738,2464
291,2465
1730,2466
4012,2469
15225,2470
2524,2471
1857,2472
3088,2473
6332,2474
383,2475
778,2476
12203,2477
28310,2478
4730,2479
44599,2480
11769,2481
6280,2482
10609,2483
18872,2484
14373,2485
31594,2486
13436,2487
3261,2488
7353,2489
666,2490
40510,2500
12438,2502
5014,2505
7605,2506
8975,2508
11112,2515
6105,2516
13731,2517
19067,2518
16929,2519
300,2522
11564,2525
15630,2526
21383,2527
23774,2528
26025,2529
32019,2530
15627,2533
5709,2534
7338,2535
17716,2536
11812,2537
2397,2538
17979,2539
45121,2540
25641,2541
1044,2545
9121,2546
7734,2548
3785,2549
15858,2550
3501,2551
225,2555
2507,2556
8952,2557
11114,2558
3069,2559
76521,2560
307,2563
13924,2564
19987,2565
26327,2566
38500,2567
1150,2568
1362,2569
40104,2570
11850,2571
4477,2572
5067,2573
5741,2574
15476,2575
13431,2576
15414,2577
2689,2578
4029,2579
29224,2580
2095,2581
12442,2582
4382,2583
543,2584
224,2585
2619,2586
2917,2587
260,2588
7093,2590
11672,2594
9508,2619
39289,2620
6056,2621
3922,2622
610,2623
389,2625
500,2626
4622,2627
1912,2628
529,2629
8691,2630
570,2631
1834,2632
379,2633
36343,2640
15070,2641
4793,2642
2777,2643
2403,2644
402,2645
6758,2646
2161,2647
2369,2648
26,2649
56974,2650
2274,2651
4583,2652
2537,2653
1336,2655
1272,2656
1433,2658
893,2659
1610,2660
633,2661
5186,2663
2226,2665
5673,2666
459,2668
1654,2669
4112,2671
1576,2672
1562,2675
340,2678
23940,2680
1732,2681
4922,2700
2388,2701
779,2702
984,2703
10153,2705
1162,2706
1348,2707
10123,2710
3360,2711
1356,2712
2797,2713
2769,2714
1477,2715
1102,2716
1330,2717
8012,2720
240,2721
3207,2722
374,2725
222,2726
350,2727
1696,2729
1391,2730
6410,2731
1776,2732
545,2733
456,2734
448,2735
377,2736
839,2737
1667,2738
1401,2739
29504,2745
42421,2747
1877,2748
16930,2749
44806,2750
4918,2752
17134,2753
5693,2754
261,2755
33932,2756
852,2757
8715,2758
26332,2759
33834,2760
30952,2761
4983,2762
30880,2763
16106,2765
15534,2766
22530,2767
28762,2768
11731,2769
61296,2770
6010,2773
12932,2774
1498,2775
4025,2776
17601,2777
2432,2778
4974,2779
13224,2780
6076,2782
2614,2783
1230,2784
4543,2785
1288,2786
4448,2787
15767,2790
343,2791
384,2792
976,2793
10428,2794
42550,2795
426,2797
2101,2798
4121,2799
44993,2800
281,2803
2668,2804
399,2805
779,2806
427,2807
182,2808
240,2809
3150,2810
287,2817
871,2818
7316,2820
4810,2821
410,2822
1425,2823
2183,2824
2383,2825
201,2826
3691,2827
831,2828
3102,2829
40291,2830
1919,2831
2568,2832
650,2833
2340,2834
4173,2835
891,2836
247,2838
1338,2839
2695,2840
630,2842
1290,2843
1437,2844
1980,2845
275,2846
2424,2847
1645,2848
1546,2849
17644,2850
3543,2852
804,2864
865,2865
3093,2866
602,2867
652,2868
1449,2869
12042,2870
9349,2871
561,2873
424,2874
973,2875
421,2876
3883,2877
372,2878
638,2879
18276,2880
382,2898
